seq_id,game_id,entry_period,entry_clock,entry_type,entry_team,defend_team,shot_within_horizon,n_frames,n_puck_points,fps_estimate
1,2025-10-11.Team.A.@.Team.D,1,19:55:00,Carried,Team D,Team A,true,151,151,30.0
2,2025-10-11.Team.A.@.Team.D,1,19:30:00,Carried,Team A,Team D,true,151,151,30.0
3,2025-10-11.Team.A.@.Team.D,1,19:00:00,Carried,Team D,Team A,false,150,150,30.0
4,2025-10-11.Team.A.@.Team.D,1,18:48:00,Carried,Team A,Team D,false,151,151,30.0
5,2025-10-11.Team.A.@.Team.D,1,18:41:00,Carried,Team D,Team A,false,130,102,30.0
6,2025-10-11.Team.A.@.Team.D,1,18:14:00,Dumped,Team D,Team A,false,114,114,30.0
7,2025-10-11.Team.A.@.Team.D,1,17:07:00,Carried,Team D,Team A,false,151,151,30.0
8,2025-10-11.Team.A.@.Team.D,1,16:19:00,Carried,Team A,Team D,true,152,152,30.0
9,2025-10-11.Team.A.@.Team.D,1,15:56:00,Carried,Team D,Team A,false,150,150,30.0
10,2025-10-11.Team.A.@.Team.D,1,15:47:00,Carried,Team A,Team D,false,152,152,30.0
11,2025-10-11.Team.A.@.Team.D,1,15:24:00,Carried,Team A,Team D,false,151,151,30.0
12,2025-10-11.Team.A.@.Team.D,1,15:16:00,Carried,Team D,Team A,true,151,151,30.0
13,2025-10-11.Team.A.@.Team.D,1,14:49:00,Carried,Team D,Team A,false,150,150,30.0
14,2025-10-11.Team.A.@.Team.D,1,14:36:00,Dumped,Team A,Team D,false,151,151,30.0
15,2025-10-11.Team.A.@.Team.D,1,13:53:00,Carried,Team A,Team D,false,151,151,30.0
16,2025-10-11.Team.A.@.Team.D,1,13:33:00,Carried,Team A,Team D,false,151,151,30.0
17,2025-10-11.Team.A.@.Team.D,1,12:44:00,Carried,Team A,Team D,false,152,152,30.0
18,2025-10-11.Team.A.@.Team.D,1,12:21:00,Carried,Team A,Team D,false,128,115,30.0
19,2025-10-11.Team.A.@.Team.D,1,12:11:00,Carried,Team D,Team A,true,151,151,30.0
20,2025-10-11.Team.A.@.Team.D,1,11:50:00,Dumped,Team A,Team D,false,152,152,30.0
21,2025-10-11.Team.A.@.Team.D,1,11:11:00,Carried,Team D,Team A,true,151,147,30.0
22,2025-10-11.Team.A.@.Team.D,1,10:39:00,Dumped,Team D,Team A,false,151,151,30.0
23,2025-10-11.Team.A.@.Team.D,1,10:25:00,Dumped,Team D,Team A,false,151,151,30.0
24,2025-10-11.Team.A.@.Team.D,1,09:42:00,Played,Team A,Team D,false,151,151,30.0
25,2025-10-11.Team.A.@.Team.D,1,09:08:00,Carried,Team D,Team A,true,152,98,30.0
26,2025-10-11.Team.A.@.Team.D,1,08:47:00,Carried,Team A,Team D,true,118,80,30.0
27,2025-10-11.Team.A.@.Team.D,1,08:39:00,Dumped,Team D,Team A,false,152,152,30.0
28,2025-10-11.Team.A.@.Team.D,1,08:12:00,Dumped,Team A,Team D,false,151,151,30.0
29,2025-10-11.Team.A.@.Team.D,1,08:00:00,Dumped,Team A,Team D,false,151,151,30.0
30,2025-10-11.Team.A.@.Team.D,1,07:22:00,Carried,Team A,Team D,true,150,150,30.0
31,2025-10-11.Team.A.@.Team.D,1,06:52:00,Dumped,Team A,Team D,false,152,152,30.0
32,2025-10-11.Team.A.@.Team.D,1,06:23:00,Carried,Team A,Team D,false,151,151,30.0
33,2025-10-11.Team.A.@.Team.D,1,06:08:00,Carried,Team A,Team D,false,151,151,30.0
34,2025-10-11.Team.A.@.Team.D,1,05:33:00,Dumped,Team A,Team D,false,152,152,30.0
35,2025-10-11.Team.A.@.Team.D,1,05:20:00,Dumped,Team D,Team A,false,151,151,30.0
36,2025-10-11.Team.A.@.Team.D,1,05:08:00,Carried,Team A,Team D,false,153,153,30.0
37,2025-10-11.Team.A.@.Team.D,1,04:49:00,Dumped,Team A,Team D,false,150,83,30.0
